host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
0,1,1,1,40.69546,-73.93503,2,3,1,1.0,1.0,2,10,11,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0.3,1,4,0,0,0,0,0,0
1,1,1,3,40.717220000000005,-73.87856,0,4,0,1.0,0.0,7,365,33,87.0,9.0,9.0,9.0,10.0,9.0,9.0,0,0.27,1,5,0,0,0,0,0,0
1,1,1,1,40.6787,-73.97261999999999,2,2,1,1.0,0.0,2,1125,100,97.0,10.0,8.0,10.0,10.0,10.0,9.0,0,11.67,2,4,0,0,0,0,0,0
0,1,1,2,40.81035,-73.94598,0,5,0,1.0,4.0,1,30,122,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1.03,1,5,0,0,0,0,0,0
1,1,0,0,40.83075,-73.93058,2,2,0,1.0,1.0,1,28,181,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.65,2,4,0,0,0,0,0,0
1,1,1,1,40.6829,-73.93549,2,2,0,1.0,2.0,14,60,42,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0.36,1,4,0,0,0,0,0,0
0,1,1,2,40.72773,-73.99134000000001,0,2,0,1.0,1.0,2,14,115,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.02,2,5,0,0,0,0,0,0
0,1,1,1,40.68656,-73.97525,2,1,1,1.0,1.0,3,18,37,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0.31,1,4,0,0,0,0,0,0
1,1,0,3,40.77185,-73.90502,0,4,0,1.0,2.0,3,365,38,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.32,1,5,0,0,0,0,0,0
0,1,1,2,40.72821,-73.98701,0,2,0,1.0,1.0,3,61,205,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.72,1,5,0,0,0,0,0,0
1,1,1,2,40.7403,-73.98498000000001,0,2,0,1.0,1.0,2,7,119,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.05,1,5,0,0,0,0,0,0
1,1,1,2,40.809309999999996,-73.94343,0,2,0,1.0,1.0,3,365,260,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.17,1,5,0,0,0,0,0,0
0,1,0,1,40.65912,-73.9842,2,4,0,2.0,3.0,2,30,25,94.0,9.0,9.0,10.0,10.0,10.0,10.0,0,0.26,1,5,0,0,0,0,0,0
0,1,1,2,40.76193,-73.9501,2,2,1,1.0,0.0,7,365,22,96.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0.31,0,5,0,0,0,0,0,0
1,1,1,2,40.72052,-73.98589,0,2,0,1.0,1.0,3,90,57,93.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0.48,1,5,0,0,0,0,0,0
0,1,1,2,40.71756,-73.99503,0,5,0,2.0,2.0,7,31,21,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0.19,1,5,0,0,0,0,0,0
0,1,1,2,40.73194,-73.99474000000001,0,3,0,1.0,1.0,5,365,10,98.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0.09,1,6,0,0,0,0,0,0
1,1,1,2,40.79163,-73.94573000000001,0,2,0,1.0,1.0,28,28,187,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,1.64,1,5,0,0,0,0,0,0
1,1,1,2,40.72654,-73.98049,0,6,0,1.0,2.0,2,1125,155,90.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1.31,1,4,0,0,0,0,0,0
